@relation ships


@attribute displacement integer
@attribute lenght integer
@attribute beam integer
@attribute draft integer
@attribute speed integer
@attribute range integer
@attribute crew integer
@attribute class {Carrier,Cruiser,Destroyer,Submarine,Battleship}

@data
41377,778,107,31,30,4500,1850,'Battleship'
31552,772,98,32,?,10100,1968,'Battleship'
13200,419,73,25,17,4800,743,'Battleship'
21787,533,84,28,21,2700,1000,'Battleship'
26500,706,102,28,31,7500,1381,'Battleship'
32300,624,97,30,21,8000,1083,'Battleship'
42900,830,118,32,30,8870,2608,'Battleship'
41377,778,107,31,30,4500,1850,'Battleship'
33410,640,91,34,24,8600,1220,'Battleship'
33218,624,98,31,21,8000,1305,'Battleship'
44560,887,108,37,33,18000,1921,'Battleship'
65027,863,121,34,27,7200,2750,'Battleship'
